Acc:0.8203125
Epoch [7/30]:  73%|████████▋   | 80/110 [07:19<02:43,  5.44s/it, loss=0.493]Acc:0.828125
Epoch [7/30]:  77%|█████████▎  | 85/110 [07:47<02:16,  5.46s/it, loss=0.483]Acc:0.890625
Epoch [7/30]:  82%|█████████▊  | 90/110 [08:14<01:48,  5.45s/it, loss=0.472]Acc:0.875
Epoch [7/30]:  86%|██████████▎ | 95/110 [08:43<01:23,  5.55s/it, loss=0.481]Acc:0.8828125
Epoch [7/30]:  91%|██████████ | 100/110 [09:10<00:55,  5.52s/it, loss=0.503]Acc:0.8515625
Epoch [7/30]:  95%|██████████▌| 105/110 [09:38<00:27,  5.50s/it, loss=0.482]Acc:0.875
Epoch [7/30]: 100%|███████████| 110/110 [09:56<00:00,  5.42s/it, loss=0.534]
Epochs 7,  Test ACC: 0.7851926466884915
Epoch [8/30]:   0%|                     | 0/110 [00:05<?, ?it/s, loss=0.469]Acc:0.8984375
Epoch [8/30]:   5%|▌            | 5/110 [00:33<09:38,  5.51s/it, loss=0.505]Acc:0.859375
Epoch [8/30]:   9%|█           | 10/110 [01:00<09:01,  5.41s/it, loss=0.474]Acc:0.8828125
Epoch [8/30]:  14%|█▋          | 15/110 [01:28<08:46,  5.54s/it, loss=0.499]Acc:0.84375
Epoch [8/30]:  18%|██▎          | 20/110 [01:55<08:03,  5.38s/it, loss=0.48]Acc:0.890625
Epoch [8/30]:  23%|██▋         | 25/110 [02:24<08:03,  5.69s/it, loss=0.458]Acc:0.921875
Epoch [8/30]:  27%|███▎        | 30/110 [02:52<07:32,  5.66s/it, loss=0.487]Acc:0.8828125
Epoch [8/30]:  32%|███▊        | 35/110 [03:20<07:03,  5.65s/it, loss=0.479]Acc:0.875
Epoch [8/30]:  36%|████▎       | 40/110 [03:48<06:26,  5.52s/it, loss=0.464]Acc:0.8828125
Epoch [8/30]:  41%|████▉       | 45/110 [04:15<06:01,  5.56s/it, loss=0.479]Acc:0.8671875
